Unnamed: 0,trigger_products,recommended_products,confidence,lift,cluster,trigger_products_str,recommended_products_str
0,['CHILDRENS CUTLERY DOLLY GIRL'],['CHILDRENS CUTLERY SPACEBOY'],0.7777777777777778,17.80701754385965,Bulk Toy & Game Buyers,CHILDRENS CUTLERY DOLLY GIRL,CHILDRENS CUTLERY SPACEBOY
1,['CHILDRENS CUTLERY DOLLY GIRL'],"['CHILDRENS CUTLERY SPACEBOY', 'WORLD WAR 2 GLIDERS ASSTD DESIGNS']",0.7777777777777778,17.80701754385965,Bulk Toy & Game Buyers,CHILDRENS CUTLERY DOLLY GIRL,"CHILDRENS CUTLERY SPACEBOY, WORLD WAR 2 GLIDERS ASSTD DESIGNS"
2,"['CHILDRENS CUTLERY DOLLY GIRL', 'WORLD WAR 2 GLIDERS ASSTD DESIGNS']",['CHILDRENS CUTLERY SPACEBOY'],0.7777777777777778,17.80701754385965,Bulk Toy & Game Buyers,"CHILDRENS CUTLERY DOLLY GIRL, WORLD WAR 2 GLIDERS ASSTD DESIGNS",CHILDRENS CUTLERY SPACEBOY
3,"['CHILDRENS CUTLERY SPACEBOY', 'WORLD WAR 2 GLIDERS ASSTD DESIGNS']",['CHILDRENS CUTLERY DOLLY GIRL'],0.7368421052631579,17.80701754385965,Bulk Toy & Game Buyers,"CHILDRENS CUTLERY SPACEBOY, WORLD WAR 2 GLIDERS ASSTD DESIGNS",CHILDRENS CUTLERY DOLLY GIRL
4,['CHILDRENS CUTLERY SPACEBOY'],"['CHILDRENS CUTLERY DOLLY GIRL', 'WORLD WAR 2 GLIDERS ASSTD DESIGNS']",0.7368421052631579,17.80701754385965,Bulk Toy & Game Buyers,CHILDRENS CUTLERY SPACEBOY,"CHILDRENS CUTLERY DOLLY GIRL, WORLD WAR 2 GLIDERS ASSTD DESIGNS"
5,['CHILDRENS CUTLERY SPACEBOY'],['CHILDRENS CUTLERY DOLLY GIRL'],0.7368421052631579,17.80701754385965,Bulk Toy & Game Buyers,CHILDRENS CUTLERY SPACEBOY,CHILDRENS CUTLERY DOLLY GIRL
6,['ROSES REGENCY TEACUP AND SAUCER'],['GREEN REGENCY TEACUP AND SAUCER'],0.5555555555555556,16.11111111111111,Bulk Toy & Game Buyers,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER
7,['GREEN REGENCY TEACUP AND SAUCER'],['ROSES REGENCY TEACUP AND SAUCER'],1.0,16.11111111111111,Bulk Toy & Game Buyers,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER
8,['GREEN REGENCY TEACUP AND SAUCER'],"['ROSES REGENCY TEACUP AND SAUCER', 'WORLD WAR 2 GLIDERS ASSTD DESIGNS']",1.0,16.11111111111111,Bulk Toy & Game Buyers,GREEN REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, WORLD WAR 2 GLIDERS ASSTD DESIGNS"
9,"['ROSES REGENCY TEACUP AND SAUCER', 'WORLD WAR 2 GLIDERS ASSTD DESIGNS']",['GREEN REGENCY TEACUP AND SAUCER'],0.5555555555555556,16.11111111111111,Bulk Toy & Game Buyers,"ROSES REGENCY TEACUP AND SAUCER, WORLD WAR 2 GLIDERS ASSTD DESIGNS",GREEN REGENCY TEACUP AND SAUCER
10,"['WORLD WAR 2 GLIDERS ASSTD DESIGNS', 'GREEN REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER'],1.0,16.11111111111111,Bulk Toy & Game Buyers,"WORLD WAR 2 GLIDERS ASSTD DESIGNS, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER
11,['ROSES REGENCY TEACUP AND SAUCER'],"['WORLD WAR 2 GLIDERS ASSTD DESIGNS', 'GREEN REGENCY TEACUP AND SAUCER']",0.5555555555555556,16.11111111111111,Bulk Toy & Game Buyers,ROSES REGENCY TEACUP AND SAUCER,"WORLD WAR 2 GLIDERS ASSTD DESIGNS, GREEN REGENCY TEACUP AND SAUCER"
12,"[""POPPY'S PLAYHOUSE BATHROOM""]","[""POPPY'S PLAYHOUSE BEDROOM"", ""POPPY'S PLAYHOUSE LIVINGROOM""]",0.7368421052631579,16.02631578947368,Bulk Toy & Game Buyers,POPPY'S PLAYHOUSE BATHROOM,"POPPY'S PLAYHOUSE BEDROOM, POPPY'S PLAYHOUSE LIVINGROOM"
13,"[""POPPY'S PLAYHOUSE BEDROOM"", ""POPPY'S PLAYHOUSE LIVINGROOM""]","[""POPPY'S PLAYHOUSE BATHROOM""]",0.7,16.02631578947368,Bulk Toy & Game Buyers,"POPPY'S PLAYHOUSE BEDROOM, POPPY'S PLAYHOUSE LIVINGROOM",POPPY'S PLAYHOUSE BATHROOM
14,"[""POPPY'S PLAYHOUSE LIVINGROOM""]","[""POPPY'S PLAYHOUSE BATHROOM"", ""POPPY'S PLAYHOUSE BEDROOM""]",0.5833333333333334,14.9264705882353,Bulk Toy & Game Buyers,POPPY'S PLAYHOUSE LIVINGROOM,"POPPY'S PLAYHOUSE BATHROOM, POPPY'S PLAYHOUSE BEDROOM"
