Unnamed: 0,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
1376,"frozenset({'HERB MARKER ROSEMARY', 'ASSORTED COLOUR BIRD ORNAMENT'})",frozenset({'HERB MARKER THYME'}),0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,"HERB MARKER ROSEMARY, ASSORTED COLOUR BIRD ORNAMENT",HERB MARKER THYME
1377,"frozenset({'ASSORTED COLOUR BIRD ORNAMENT', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,"ASSORTED COLOUR BIRD ORNAMENT, HERB MARKER THYME",HERB MARKER ROSEMARY
1378,frozenset({'HERB MARKER ROSEMARY'}),"frozenset({'ASSORTED COLOUR BIRD ORNAMENT', 'HERB MARKER THYME'})",0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,HERB MARKER ROSEMARY,"ASSORTED COLOUR BIRD ORNAMENT, HERB MARKER THYME"
1379,frozenset({'HERB MARKER THYME'}),"frozenset({'HERB MARKER ROSEMARY', 'ASSORTED COLOUR BIRD ORNAMENT'})",0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,HERB MARKER THYME,"HERB MARKER ROSEMARY, ASSORTED COLOUR BIRD ORNAMENT"
2428,"frozenset({'HERB MARKER BASIL', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.01615271659324523,0.02055800293685756,0.01615271659324523,1.0,48.64285714285715,1,0.01582064899808306,inf,0.9955223880597015,0.7857142857142857,1.0,0.8928571428571428,"HERB MARKER BASIL, HERB MARKER THYME",HERB MARKER ROSEMARY
2453,frozenset({'HERB MARKER ROSEMARY'}),"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,HERB MARKER ROSEMARY,"HERB MARKER MINT, HERB MARKER THYME"
2455,frozenset({'HERB MARKER THYME'}),"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT'})",0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,HERB MARKER THYME,"HERB MARKER ROSEMARY, HERB MARKER MINT"
283,frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER ROSEMARY'}),0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,HERB MARKER THYME,HERB MARKER ROSEMARY
2457,"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY'})",frozenset({'HERB MARKER THYME'}),0.01762114537444934,0.02055800293685756,0.01762114537444934,1.0,48.64285714285715,1,0.01725888981609062,inf,0.9970104633781764,0.8571428571428571,1.0,0.9285714285714286,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY",HERB MARKER THYME
2458,"frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY'})",frozenset({'HERB MARKER ROSEMARY'}),0.01762114537444934,0.02055800293685756,0.01762114537444934,1.0,48.64285714285715,1,0.01725888981609062,inf,0.9970104633781764,0.8571428571428571,1.0,0.9285714285714286,"HERB MARKER THYME, HERB MARKER PARSLEY",HERB MARKER ROSEMARY
282,frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER THYME'}),0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,HERB MARKER ROSEMARY,HERB MARKER THYME
2427,"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER THYME'}),0.01615271659324523,0.02055800293685756,0.01615271659324523,1.0,48.64285714285715,1,0.01582064899808306,inf,0.9955223880597015,0.7857142857142857,1.0,0.8928571428571428,"HERB MARKER ROSEMARY, HERB MARKER BASIL",HERB MARKER THYME
2452,"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,"HERB MARKER MINT, HERB MARKER THYME",HERB MARKER ROSEMARY
2450,"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT'})",frozenset({'HERB MARKER THYME'}),0.02055800293685756,0.02055800293685756,0.02055800293685756,1.0,48.64285714285715,1,0.02013537145210572,inf,1.0,1.0,1.0,1.0,"HERB MARKER ROSEMARY, HERB MARKER MINT",HERB MARKER THYME
